epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5836,1.99661,2.91308,2.30317,0.00347,0.86667,0.09597,0.02972,1.87778,3.60239,3.27989,2e-05,2e-05,2e-05
2,37.9417,1.95669,2.83108,2.14745,0.00347,0.86667,0.11863,0.03733,1.86188,3.57435,3.20843,5.8812e-05,5.8812e-05,5.8812e-05
3,57.9771,1.6117,2.79446,2.01179,0.00347,0.86667,0.22763,0.08407,1.80388,3.51983,3.05081,9.604e-05,9.604e-05,9.604e-05
4,75.2602,1.6157,2.68837,1.95555,0.00373,0.93333,0.45504,0.20287,1.53239,3.42908,2.63777,0.000131684,0.000131684,0.000131684
5,92.7159,1.52156,2.4348,1.83775,0.00387,0.96667,0.54746,0.2993,1.24098,3.23693,2.1809,0.000165744,0.000165744,0.000165744
6,110.299,1.48694,2.38547,1.90848,0.004,1,0.62637,0.33233,1.16657,3.11765,1.99484,0.00019822,0.00019822,0.00019822
7,129.587,1.37026,1.99321,1.69891,0.004,1,0.7565,0.42024,1.07671,2.91921,1.80649,0.000229112,0.000229112,0.000229112
8,149.324,1.36281,2.02822,1.71155,0.00775,1,0.80973,0.47792,1.04323,2.79427,1.72886,0.00025842,0.00025842,0.00025842
9,167.043,1.3565,1.92204,1.68627,0.004,1,0.79259,0.47812,1.05036,2.7801,1.70088,0.000286144,0.000286144,0.000286144
10,184.446,1.27074,1.77386,1.60086,0.004,1,0.77253,0.4676,1.0885,2.79111,1.72703,0.000312284,0.000312284,0.000312284
11,201.6,1.2471,1.87433,1.64862,0.004,1,0.7172,0.43867,1.10764,2.87789,1.7835,0.00033684,0.00033684,0.00033684
12,219.149,1.22212,1.76797,1.64709,0.00387,0.96667,0.7166,0.41107,1.26093,2.90063,1.98699,0.000359812,0.000359812,0.000359812
13,235.989,1.3835,1.7307,1.66163,0.00387,0.96667,0.72778,0.37702,1.32562,2.93179,2.07759,0.0003812,0.0003812,0.0003812
14,252.564,1.34747,1.82376,1.69183,0.42794,0.93333,0.7834,0.38498,1.30012,2.89847,2.01367,0.000401004,0.000401004,0.000401004
15,270.062,1.30633,1.72059,1.6304,0.89157,0.54863,0.84355,0.47267,1.22547,2.77742,1.85682,0.000419224,0.000419224,0.000419224
16,286.99,1.27084,1.91567,1.6653,0.86243,0.62716,0.84787,0.45702,1.21911,2.67485,1.91643,0.00043586,0.00043586,0.00043586
17,304.706,1.24928,1.67859,1.5941,1,0.31793,0.87718,0.50957,1.15214,2.62262,1.86486,0.000450912,0.000450912,0.000450912
18,323.421,1.24552,1.5986,1.49649,1,0.3407,0.91143,0.57919,1.08292,2.53603,1.78579,0.00046438,0.00046438,0.00046438
19,345.043,1.24964,1.68117,1.53275,1,0.44949,0.92241,0.57583,1.07313,2.48536,1.77484,0.000476264,0.000476264,0.000476264
20,363.293,1.15734,1.51422,1.49673,1,0.54822,0.91161,0.59546,1.00841,2.37176,1.66256,0.000486564,0.000486564,0.000486564
21,381.216,1.34192,1.6313,1.68702,0.88631,0.7,0.9271,0.63716,0.91606,2.232,1.5284,0.00049528,0.00049528,0.00049528
22,399.174,1.22849,1.60976,1.63516,0.9498,0.63083,0.9361,0.62567,0.93522,2.25283,1.64985,0.000502412,0.000502412,0.000502412
23,416.702,1.10347,1.41235,1.55139,0.936,0.73333,0.94832,0.58663,1.03485,2.24471,1.73518,0.00050796,0.00050796,0.00050796
24,434.297,1.06255,1.40217,1.43104,0.81728,0.74575,0.86886,0.52488,1.13468,2.30997,1.81641,0.000511924,0.000511924,0.000511924
25,453.27,1.21319,1.67365,1.53962,0.83618,0.73333,0.88821,0.5644,1.1048,2.37724,1.74295,0.000514304,0.000514304,0.000514304
26,472.063,0.98302,1.35598,1.40092,0.82444,0.78296,0.90573,0.59693,1.10484,2.25195,1.77581,0.0005151,0.0005151,0.0005151
27,492.602,1.25441,1.5104,1.5659,0.91313,0.76667,0.90274,0.57885,1.16351,2.10871,1.93098,0.000514312,0.000514312,0.000514312
28,513.037,1.07663,1.47036,1.44497,0.91313,0.76667,0.90274,0.57885,1.16351,2.10871,1.93098,0.00051194,0.00051194,0.00051194
29,536.571,1.08753,1.38653,1.42631,0.81619,0.74026,0.86419,0.54942,1.24669,2.06425,2.02058,0.000507984,0.000507984,0.000507984
30,558.509,1.18052,1.48503,1.56388,0.93419,0.76667,0.89695,0.56036,1.22264,1.99127,1.98297,0.000502444,0.000502444,0.000502444
31,577.954,1.21665,1.43492,1.48345,0.93419,0.76667,0.89695,0.56036,1.22264,1.99127,1.98297,0.00049532,0.00049532,0.00049532
32,597.619,1.29678,1.48994,1.611,0.881,0.74058,0.89038,0.57791,1.16307,1.96515,1.90854,0.000486612,0.000486612,0.000486612
33,616.821,1.05118,1.25123,1.32135,0.9167,0.8,0.94503,0.61615,1.17291,1.88595,1.92216,0.00047632,0.00047632,0.00047632
34,638.631,1.07888,1.37568,1.39042,0.9167,0.8,0.94503,0.61615,1.17291,1.88595,1.92216,0.000464444,0.000464444,0.000464444
35,658.755,1.02434,1.18986,1.38267,0.86317,0.83333,0.93689,0.61723,1.17853,1.86974,1.87261,0.000450984,0.000450984,0.000450984
36,677.974,1.06029,1.33224,1.39308,0.92012,0.76794,0.92963,0.60899,1.18801,1.88457,1.85385,0.00043594,0.00043594,0.00043594
37,696.062,0.91667,1.13195,1.34712,0.92012,0.76794,0.92963,0.60899,1.18801,1.88457,1.85385,0.000419312,0.000419312,0.000419312
38,713.527,1.03201,1.25822,1.41304,0.87517,0.86667,0.94458,0.65151,1.11784,1.83086,1.78907,0.0004011,0.0004011,0.0004011
39,731.749,1.16411,1.43006,1.55384,0.8684,0.88008,0.96528,0.66529,1.05577,1.78327,1.72215,0.000381304,0.000381304,0.000381304
40,751.741,1.08451,1.33461,1.44215,0.8684,0.88008,0.96528,0.66529,1.05577,1.78327,1.72215,0.000359924,0.000359924,0.000359924
41,770.237,0.91981,1.7006,1.50076,0.88444,0.9,0.97235,0.65646,1.10376,1.84104,1.73728,0.00033696,0.00033696,0.00033696
42,793.103,0.70925,1.35422,1.29265,0.91983,0.86667,0.94892,0.58464,1.23028,1.88961,1.85476,0.000312412,0.000312412,0.000312412
43,813.365,0.80737,1.44583,1.3934,0.91983,0.86667,0.94892,0.58464,1.23028,1.88961,1.85476,0.00028628,0.00028628,0.00028628
44,831.372,0.73826,1.45199,1.39283,0.94504,0.86667,0.94736,0.58629,1.24184,1.88441,1.87152,0.000258564,0.000258564,0.000258564
45,849.662,0.67186,1.43643,1.28717,0.94504,0.86667,0.94736,0.58629,1.24184,1.88441,1.87152,0.000229264,0.000229264,0.000229264
