epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4278,2.41291,4.92586,1.78831,0.00184,0.56944,0.02269,0.01364,2.23258,6.19149,2.01661,3.334e-05,3.334e-05,3.334e-05
2,45.1507,2.1232,4.1424,1.41043,0.00244,0.72222,0.12768,0.07311,2.27925,5.44505,1.7249,8.19747e-05,8.19747e-05,8.19747e-05
3,67.5743,1.90177,3.90958,1.34494,0.00334,0.97222,0.40053,0.24953,2.17242,4.71193,1.48167,0.000128959,0.000128959,0.000128959
4,89.0261,0.99753,4.82176,0.80819,0.00323,0.94097,0.61763,0.37853,1.86738,4.48172,1.38339,0.000174293,0.000174293,0.000174293
5,111.027,1.67569,2.88437,1.23338,0.00333,0.97222,0.78621,0.47132,1.73619,4.36716,1.11721,0.000217977,0.000217977,0.000217977
6,133.399,1.39417,2.55381,1.16859,0.00333,0.97222,0.83513,0.43028,1.92521,4.71233,1.10404,0.00026001,0.00026001,0.00026001
7,155.104,1.33103,2.12441,1.02802,0.00333,0.97222,0.84703,0.4668,1.63712,5.07023,1.03007,0.000300393,0.000300393,0.000300393
8,177.046,1.17342,2.10268,0.96755,0.00333,0.97222,0.85244,0.50199,1.44878,4.89581,0.99311,0.000339126,0.000339126,0.000339126
9,198.627,1.2693,2.18456,1.10621,0.00333,0.97222,0.71053,0.40295,1.46841,4.91551,1.05179,0.000376209,0.000376209,0.000376209
10,220.023,1.19719,2.35177,1.09433,0.00333,0.97222,0.61685,0.31892,1.45208,4.21408,1.08308,0.000411641,0.000411641,0.000411641
11,241.891,1.25802,1.93089,1.11698,0.00323,0.94097,0.38677,0.15551,1.20467,4.03513,1.05243,0.000445422,0.000445422,0.000445422
12,263.118,0.81545,3.7969,0.76839,0.00333,0.97222,0.22632,0.12021,1.20878,4.08206,1.0927,0.000477554,0.000477554,0.000477554
13,284.66,1.25331,1.80348,1.09944,0.00337,0.97222,0.21474,0.15394,1.23304,4.12378,1.07975,0.000508035,0.000508035,0.000508035
